"Activity Name","Service Provider Name","Service Provider Email Address","Contact Number","Contact Email",Category(s),"Age Group(s)","Reporting Region","Number of active referrals","Number of times details viewed",ICP,PCN,"Activity Post Code","Service Provider Post Code",Active,Link
"Chartwell Garden","Chartwell, National Trust",chartwell@nationaltrust.org.uk,"0344 800 1895",enquiries@nationaltrust.org.uk,"Other - Social Groups & Activities",,,0,196,,,"S63 3FH","TN16 1PS",1,https://croydon.simplyconnect.uk/activities/14246ff0-1e8c-11eb-9e4f-5f0f3396654b/chartwell-garden
"Changing Lives through Muaythai","Thai Boxing Community Centre",thaiboxingcommunity@gmail.com,,,"Sports Clubs",,,0,63,,,"CR0 2DA","CR0 2DA",1,https://croydon.simplyconnect.uk/activities/23ed0fb0-23a0-11ed-b2df-fb1edb506789/changing-lives-through-muaythai
"Chair-based Exercises","Carers Information Service",info@carersinfo.org.uk,02086635674,enquiries@carersinfo.org.uk,"Exercise & Outdoor Activities",,,0,426,,,,"CR0 1PB",1,https://croydon.simplyconnect.uk/activities/94067720-7505-11eb-bc6b-5721702e7524/chair-based-exercises
"Certificated Course Entry Level","Care to Listen",enquiries@caretolisten.co.uk,,adminctlsc@caretolisten.co.uk,"Employment, Skills & Enterprise ",,,0,46,,,"CR0 6RX","CR0 6AN",1,https://croydon.simplyconnect.uk/activities/61afa3c0-242d-11eb-b01e-ff416177fe56/certificated-course-entry-level
"Centre of Change","Croydon South East Local Community Partnership",,,,Counselling,,,0,56,,,"CR0 0DH","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/fa3d73e0-13dc-11ed-bacc-0bac3c8885ab/centre-of-change
"Celebrate BAME Traditions","Croydon BME Forum",info@bmeforum.org,"020 8684 2719",jaydeecrc@hotmail.com,"Other - Social Groups & Activities","0-5, 16-21, 21-65, 50+, Under 16",,0,146,,,"CR0 3RG","CR0 3RG",1,https://croydon.simplyconnect.uk/activities/20ebc850-c6d8-11ec-a01a-eb5ce6b912dc/celebrate-bame-traditions
"Carla' Yoga  Saturday Workshop","Carla's Yoga",carla@healthfocus.com,07940509910,carla@healthourfocus.com,"Exercise & Outdoor Activities","16-21, 21-65, 50+",,1,180,,,"SE25 4DX","SE20 8JL",1,https://croydon.simplyconnect.uk/activities/5a8f11d0-442f-11ea-b3ac-19738c5998e9/carla-yoga-saturday-workshop
"Carers' Forum","The Garwood Foundation",fundraiser@garwoodfoundation.org.uk,"0208 686 4716",maryam.boureega@garwoodfoundation.org.uk,"Carers ","16-21, 21-65, 50+",,0,207,,,"CR2 7HZ","CR2 7HZ",1,https://croydon.simplyconnect.uk/activities/545bfb00-2fda-11eb-98b2-6111c8be0748/carers-forum
"Carers Week Special - Singing Taster Session","Carers Information Service",info@carersinfo.org.uk,"020 8649 9339, opt 1",info@carersinfo.org.uk,"Carers ","21-65, 50+",,0,127,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/367bac80-db67-11ec-86aa-372aefa14f36/carers-week-special-singing-taster-session
"Carers UK: Care for a Cuppa","Carers Information Service",info@carersinfo.org.uk,"020 7378 4999 |",info@carersuk.org,"Carers ",,,0,129,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/d20667e0-cc67-11ec-b461-a7dc58e299f9/carers-uk-care-for-a-cuppa
"Carers Support Service for carers of adults with learning disabilities","Croydon Mencap",info@croydonmencap.org.uk,"07718 494 468",sue@croydonmencap.org.uk,"Carers ","21-65, 50+",,0,223,,,"CR7 7HU","CR7 7HU",1,https://croydon.simplyconnect.uk/activities/b4fcafa0-2a92-11ec-bef0-9bee47ac7ae9/carers-support-service-for-carers-of-adults-with-learning-disabilities
"Carers Support Centre Choir","Carers Information Service",info@carersinfo.org.uk,"020 8649 9339, opt 1",info@carersinfo.org.uk,"Carers ",,,0,159,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/5f2afba0-3fe6-11ec-8de4-4b28186d2c31/carers-support-centre-choir
"Carers Information Service","Croydon South West Local Community Partnership",,,,"Carers ",,,0,92,,,"CR0 1PB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/108d2fd0-1958-11ed-944c-279349ac3c0c/carers-information-service
"Carers Indian Dance","Carers Support Centre",info@carersinfo.org.uk,"020 8649 9339",enquiries@carersinfo.org.uk,"Carers ","16-21, 21-65, 50+",,0,223,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/5a6dac20-442f-11ea-9917-57f6fd75e558/carers-indian-dance
"Carers Cafe","Carers Support Centre",info@carersinfo.org.uk,"020 8649 9339",info@carersinfo.org.uk,"Carers ","16-21, 21-65, 50+",,0,382,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/5a4f0a70-442f-11ea-af78-15245955e5e1/carers-cafe
"Carers Café","Carers Information Service",info@carersinfo.org.uk,"020 8649 9339, opt 1",info@carersinfo.org.uk,"Carers ","16-21, 21-65, 50+",,0,121,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/2190af20-cc62-11ec-abf6-fd1287fa788e/carers-cafe
"Carers Book Club","Carers Support Centre",info@carersinfo.org.uk,"020 8649 9339",enquiries@carersinfo.org.uk,"Hobbies & Interests","16-21, 21-65, 50+",,0,259,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/5a2b8480-442f-11ea-9317-79db2658911f/carers-book-club
"Carers and Benefits","South West London Law Centres",enquiries@swllc.org,"020 8767 2777 (9.30am-5pm Mon-Fri)",enquiries@swllc.org,"Legal Advice","16-21, 21-65, 50+",,0,52,,,,"CR0 1QQ",1,https://croydon.simplyconnect.uk/activities/823a8660-769c-11eb-949c-e735bebe061f/carers-and-benefits
"CareDogs Dog Befriending Service",CareDogs,hello@caredogs.org.uk,07545832912,delphine@caredogs.org.uk,Wellbeing,50+,,0,78,,,"SE19 9FD","SE19 9FD",1,https://croydon.simplyconnect.uk/activities/f0ce1cf0-0e56-11ed-a3d9-ff6ee5f84913/caredogs-dog-befriending-service
"Care to Listen","Croydon South West Local Community Partnership",,,enquiries@caretolisten.co.uk,Counselling,"16-21, 21-65, 50+",,0,126,,,"CR0 6AN","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/17caede0-b0e6-11ec-a6b4-3339ef5c54fe/care-to-listen
"Candle Child Bereavement Service","St Christopher's Hospice",volunteering@stchristophers.org.uk,"020 8768 4533",info@stchristophers.org.uk,Bereavement,,,0,122,,,,"SE26 6DZ",1,https://croydon.simplyconnect.uk/activities/9687f6d0-be15-11eb-942f-b72cf8c8b876/candle-child-bereavement-service
"Cancer Patients Services","South East Cancer Help Centre",info@sechc.org.uk,"020 8668 0974",lizzie.hewitt@sechc.org.uk,Counselling,,,0,746,,,"CR8 2HA","CR8 2HA",1,https://croydon.simplyconnect.uk/activities/ad8de9c0-78d9-11ea-8686-2fcaeee62f29/cancer-patients-services
"Cancer Coach Telephone Support Group","Cancer Support UK",hello@cancersupportuk.org,"020 7470 8755",hello@cancersupportuk.org,Counselling,"16-21, 21-65, 50+",,0,225,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/63aff5a0-57f0-11ea-9238-394909cb4d3d/cancer-coach-telephone-support-group
"Campaigning group dedicated to empowering residents in temporary accommodation","Accommodation Action",info@accommodationaction.com,07957981497,info@accommodationaction.com,"Housing ","0-5, 16-21, 21-65, 50+, Under 16",,0,117,,,,"CR2 6NQ",1,https://croydon.simplyconnect.uk/activities/bda6abc0-576b-11ec-850a-bd10b4b6155a/campaigning-group-dedicated-to-empowering-residents-in-temporary-accommodation
"Cafe Worship","Christ Church Methodist Addiscombe",enquiries@christchurchmeth.org.uk,"020 8654 5481",enquiries@christchurchmeth.org.uk,"Faith Groups",,,0,431,,,"CR0 6AD","CR0 6AD",1,https://croydon.simplyconnect.uk/activities/ed20af30-58a1-11ea-b5ca-77f04e72bc81/cafe-worship
"Butterfly And Wildflower Morning Walk Through Downe Village","London Wildlife Trust",enquiries@wildlondon.org.uk,"020 7261 0447",enquiries@wildlondon.org.uk,"Exercise & Outdoor Activities",,,0,38,,,"BR6 7JT","SW1P 2AF",1,https://croydon.simplyconnect.uk/activities/6fdb6440-cd16-11eb-bee8-1d630ea48359/butterfly-and-wildflower-morning-walk-through-downe-village
"Busy Bees Pre-School","Playplace Innov8 CIC",info@playplace.org,"07786 194656",info@playplace.org,"Education ",0-5,,0,198,,,"CR2 6EJ","CR0 9EP",1,https://croydon.simplyconnect.uk/activities/59926dd0-442f-11ea-bc1f-9316d56bad82/busy-bees-pre-school
"Business Advice","All Inclusive",info@allinclusivetraining.org,"020 8253 7062",info@allinclusivetraining.org,"Employment, Skills & Enterprise ","16-21, 21-65, 50+",,1,477,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/596fa250-442f-11ea-942e-6f5579aa680c/business-advice
"Bumps and Babies","Emmanuel Church",office@emmanuelcroydon.org.uk,02086886676,joanna.lines@emmanuelcroydon.org.uk,Families,0-5,,0,51,,,"CR2 7AF","CR2 7AF",1,https://croydon.simplyconnect.uk/activities/777d2fb0-5145-11ed-be93-4f59b6a3ec81/bumps-and-babies
"Building Community Partnerships in Woodside and Shirley (3rd session)","Croydon Voluntary Action",cva@cvalive.org.uk,,sarah.burns@cvalive.org.uk,,21-65,,0,8,,,,"CR0 2TB",1,https://croydon.simplyconnect.uk/activities/2c26e2b0-0ef5-11ec-b305-7fc6cd4d8361/building-community-partnerships-in-woodside-and-shirley-3rd-session
"Building Community Partnerships in Thornton Heath (3rd Session)","Croydon Voluntary Action",cva@cvalive.org.uk,"020 8253 7060",cva@cvalive.org.uk,"General Advice & Info",,,0,13,,,,"CR0 2TB",1,https://croydon.simplyconnect.uk/activities/853b2230-9b72-11eb-9a39-d96a3384ed62/building-community-partnerships-in-thornton-heath-3rd-session
"Building Community Partnerships in Purley and Coulsdon (3rd Session)","Croydon Voluntary Action",cva@cvalive.org.uk,"020 8253 7060",cva@cvalive.org.uk,"Employment, Skills & Enterprise ",21-65,,0,40,,,,"CR0 2TB",1,https://croydon.simplyconnect.uk/activities/f83cd360-0ef8-11ec-9aab-d39b6c221ad7/building-community-partnerships-in-purley-and-coulsdon-3rd-session
"Building Community Partnerships in New Addington and Selsdon","Croydon Voluntary Action",cva@cvalive.org.uk,"020 8253 7060",cva@cvalive.org.uk,"General Advice & Info",,,0,48,,,,"CR0 2TB",1,https://croydon.simplyconnect.uk/activities/769a19f0-9b76-11eb-b55c-4dc197b913a7/building-community-partnerships-in-new-addington-and-selsdon
"Building Community Partnerships in East Croydon (2nd Session)","Croydon Voluntary Action",cva@cvalive.org.uk,"020 8253 7060",cva@cvalive.org.uk,"General Advice & Info",,,0,22,,,,"CR0 2TB",1,https://croydon.simplyconnect.uk/activities/25519dc0-9b75-11eb-a2dd-0f3a2341c9ab/building-community-partnerships-in-east-croydon-2nd-session
"Building Blocks Pre-School","Playplace Innov8 CIC",info@playplace.org,07766652672,info@playplace.org,"Education ",0-5,,1,211,,,"CR8 2HP","CR0 9EP",1,https://croydon.simplyconnect.uk/activities/5953c7d0-442f-11ea-a049-f36915f28b97/building-blocks-pre-school
"Bugzi Loan Scheme","QEF Mobility Services",transporthubproject@qef.org.uk,"020 8770 1151",mobility@qef.org.uk,"Transport & Mobility",0-5,,0,474,,,"SM5 4AW","SM5 4AW",1,https://croydon.simplyconnect.uk/activities/5936abf0-442f-11ea-a153-036209f6631f/bugzi-loan-scheme
"Budgeting Advice","All Inclusive",info@allinclusivetraining.org,"020 8253 7062",info@allinclusivetraining.org,"Financial (debt advice or grants)","16-21, 21-65, 50+",,1,652,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/591a37a0-442f-11ea-9bfb-bfef73de05da/budgeting-advice
"Buddy Support","Croydon Voluntary Action",cva@cvalive.org.uk,"0208 253 1262",Mary.lawrence@cvalive.org.uk,"Befriending & Mentoring","16-21, 21-65",,23,125,,,"CR0 1TY","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/95fd7b10-1213-11eb-b3d5-43b9be5918e6/buddy-support
"Brownies & Guides","St Matthew's Church Croydon",churchadmin@stmatthew.org.uk,,churchadmin@stmatthew.org.uk,"Youth Social Groups",,,0,125,,,"CR0 5NQ","CR0 5NQ",1,https://croydon.simplyconnect.uk/activities/e030a180-a6a6-11ec-8e90-29c2e3f26252/brownies-guides
Brownies,"Girlguiding Croydon",cc@girlguidingcroydon.org.uk,07960034404,growguidingcroydon@gmail.com,"Hobbies & Interests","Under 16",,0,152,,,"CR0 0XD","SW1W 0PT",1,https://croydon.simplyconnect.uk/activities/036f3810-4df4-11ea-b5bb-5d516793a524/brownies
"British Red Cross - Essential First Aid Training","Croydon Voluntary Action",cva@cvalive.org.uk,,,"Safety & Security",21-65,,0,19,,,,"CR0 2TB",1,https://croydon.simplyconnect.uk/activities/b2124ef0-0ef7-11ec-91da-39788e027747/british-red-cross-essential-first-aid-training
"Brilliant Butterflies activities for Families at Home","London Wildlife Trust",enquiries@wildlondon.org.uk,"020 7261 0447",samos@wildlondon.org.uk,"Exercise & Outdoor Activities",,,0,545,,,"SW1P 2AF","SW1P 2AF",1,https://croydon.simplyconnect.uk/activities/06f01c40-75ba-11ea-b458-457428d40db9/brilliant-butterflies-activities-for-families-at-home
"BRAZILIAN JIUJITSU","Rising Stars Support C.I.C.",info@risingstarssupport.com,"0208 682 9668",info@risingstarssupport.com,"Sports Clubs","16-21, Under 16",,0,68,,,"SW16 4DN","SW17 8TA",1,https://croydon.simplyconnect.uk/activities/7b883f80-d05f-11ec-9e81-cfa35779a075/brazilian-jiujitsu
Bowls,"Croydon Vision",info@croydonvision.org.uk,"020 8688 2486",info@croydonvision.org.uk,Wellbeing,"16-21, 21-65, 50+",,0,673,,,"CR0 2AR","CR0 2AR",1,https://croydon.simplyconnect.uk/activities/58bcb180-442f-11ea-bb19-2fad5d5d1134/bowls
"Books on Prescription","South London and Maudsley NHS Trust",croydoniapt@slam.nhs.uk,"020 3228 4040",croydoniapt@slam.nhs.uk,Counselling,"16-21, 21-65, 50+",,1,298,,,"BR3 3BX","BR3 3BA",1,https://croydon.simplyconnect.uk/activities/58231ff0-442f-11ea-91f9-2b26d82ea8f3/books-on-prescription
"Book Club","Carers Information Service",info@carersinfo.org.uk,"020 8649 9339, opt 1",info@carersinfo.org.uk,"Carers ","16-21, 21-65, 50+",,0,154,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/51a8ed10-db65-11ec-b360-712cc35843f8/book-club
"Boloh Helpline",Barnardos,barnardosyoungpeople@barnardos.org.uk,"0800 1512 605",Boloh.helpline@barnardos.org.uk,Counselling,"16-21, 21-65, 50+",,0,139,,,"IG6 1QG","MK9 3BN",1,https://croydon.simplyconnect.uk/activities/77181b40-6b8e-11eb-afad-63bf23e97955/boloh-helpline
"Bollywood Dance Class for kids (6+)","Croydon Voluntary Action",cva@cvalive.org.uk,02082531261,cva@cvalive.org.uk,Wellbeing,"Under 16",,0,124,,,"CR0 1TY","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/f53c3580-cc56-11ec-8899-7716a3b61964/bollywood-dance-class-for-kids-6
"Bollywood Dance","Croydon Voluntary Action - Active Communities Hub",cva@cvalive.org.uk,,anusha@beeja.com,"Exercise & Outdoor Activities",,,0,20,,,"CR0 1TY","CR0 1TY",1,https://croydon.simplyconnect.uk/activities/3e019210-7482-11ed-b75a-5f3cc812a576/bollywood-dance
"Blood Donation Sessions","NHS blood and transplantation service",,"0300 123 23 23",,"Health Improvement & Management","16-21, 21-65",,0,99,,,"CR0 5NQ","BS34 7QH",1,https://croydon.simplyconnect.uk/activities/757c5a00-e735-11ec-a5af-8f035fac46c5/blood-donation-sessions
"Blood Donation Session","NHS blood and transplantation service",,"0300 123 23 23",cva@cvalive.org.uk,"Other - Advice, Support & Self Help",,,0,43,,,"CR0 7EN","BS34 7QH",1,https://croydon.simplyconnect.uk/activities/a53dd4f0-6094-11eb-bb25-bb2a55ae4275/blood-donation-session
"Black African Caribbean Community Involvement Group","Black African Caribbean Community Involvement Group",,07947180426,,"Neighbourhood & Communities","16-21, 21-65, 50+, Under 16",,1,410,,,"CRO 4ST","CR0 2XX",1,https://croydon.simplyconnect.uk/activities/fc71cc00-1390-11eb-891e-43829df53ac0/black-african-caribbean-community-involvement-group
"BigGarden Birdwatch and Green Care at the Wilderness garden","MHA Communities South London",katharine.stubbs@mha.org.uk,07597135220,southlondon@mha.org.uk,"Other - Social Groups & Activities",50+,,0,97,,,"CR9 5AL","CR9 5AL",1,https://croydon.simplyconnect.uk/activities/9e5421f0-63eb-11ec-a230-bdae29030a3b/biggarden-birdwatch-and-green-care-at-the-wilderness-garden
"Big Energy Saving Network","Upper Norwood Library Hub",info@unlt.org,,besn@unlt.org,"Other - Advice, Support & Self Help","16-21, 21-65, 50+",,0,65,,,"SE19 1TQ","SE19 1TJ",1,https://croydon.simplyconnect.uk/activities/565fbf80-5f54-11ed-8a0e-6b7f61437d70/big-energy-saving-network
"Big Butterflies 23rd July - 1st August","London Wildlife Trust",enquiries@wildlondon.org.uk,"020 7261 0447",brilliantbutterflies@wildlondon.org.uk,"Exercise & Outdoor Activities",,,0,20,,,"SW1P 2AF","SW1P 2AF",1,https://croydon.simplyconnect.uk/activities/cae436d0-edfb-11eb-b2fc-7bdc06f3f4b4/big-butterflies-23rd-july-1st-august
"Big Bug Fun Hunt","MHA Communities South London",katharine.stubbs@mha.org.uk,07597135220,southlondon@mha.org.uk,Wellbeing,50+,,0,77,,,"CR9 5AL","CR9 5AL",1,https://croydon.simplyconnect.uk/activities/724305b0-13e5-11ed-bd7e-5f0429fb8e42/big-bug-fun-hunt
"Bicycles and Motorbikes","QEF Mobility Services",transporthubproject@qef.org.uk,"020 8770 1151",mobility@qef.org.uk,"Transport & Mobility","16-21, 21-65",,0,376,,,"SM5 4AW","SM5 4AW",1,https://croydon.simplyconnect.uk/activities/57b4d960-442f-11ea-a3a9-b31424ba7771/bicycles-and-motorbikes
"Bereavement support at the Carers Support Centre","Carers Support Centre",info@carersinfo.org.uk,"020 8649 6280",tanyafitzgerald@carersinfo.org.uk,Bereavement,"16-21, 21-65, 50+, Under 16",,0,400,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/578e0230-442f-11ea-995d-f77f1e27b2cd/bereavement-support-at-the-carers-support-centre
"Bereavement Awareness Workshop  Saturday 19th November","Emmanuel Church",office@emmanuelcroydon.org.uk,02086886676,carol.trower@emmanuelcroydon.org.uk,Bereavement,,,0,,,,"CR2 7AF","CR2 7AF",1,https://croydon.simplyconnect.uk/activities/6142e8c0-551b-11ed-b773-15329970809b/bereavement-awareness-workshop-saturday-19th-november
"Benefits Surgery","Carers Support Centre",info@carersinfo.org.uk,"020 8663 5608",appointments@carersinfo.org.uk,"Carers ",,,0,410,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/575a2a10-442f-11ea-b1e8-b96877e52cda/benefits-surgery
"Benefits and Debt Advice: Support with Benefit, debt, housing, employment, immigration and legal advice","Citizens Advice Croydon - South Norwood Office",,"0800 144 88 48",,"Financial (debt advice or grants)",,,0,81,,,"SE25 4PQ","SE25 4PQ",1,https://croydon.simplyconnect.uk/activities/f6a336c0-1e21-11ed-bda2-e5708e945b7f/benefits-and-debt-advice-support-with-benefit-debt-housing-employment-immigration-and-legal-advice
"Benefits and Debt Advice: Support for those with Mental Health Difficulties in Croydon","Hear Us User Group",Tim@hear-us.org,"020 8681 6888",surgery@hear-us.org,"Financial (debt advice or grants)",,,0,134,,,,"CR2 6EZ",1,https://croydon.simplyconnect.uk/activities/4f0ec2f0-1e1e-11ed-ac8b-9d5ff57fa9ed/benefits-and-debt-advice-support-for-those-with-mental-health-difficulties-in-croydon
"Benefits and Debt Advice: Support for older people, their families and carers","Age UK Croydon",laura.james@ageukcroydon.org.uk,"020 8686 0066",aukc@ageukcroydon.org.uk,"Financial (debt advice or grants)",,,0,138,,,"CR7 7DG","CR7 7DG",1,https://croydon.simplyconnect.uk/activities/1dc57270-1e2b-11ed-9d21-196930976395/benefits-and-debt-advice-support-for-older-people-their-families-and-carers
"Benefits and Debt Advice: Managing your Money","South West London Law Centres",enquiries@swllc.org,"020 8767 2777 (9.30am-5pm Mon-Fri)",enquiries@swllc.org,"Financial (debt advice or grants)","16-21, 21-65, 50+",,0,46,,,,"CR0 1QQ",1,https://croydon.simplyconnect.uk/activities/dbbd59e0-769c-11eb-bd50-658601d119fe/benefits-and-debt-advice-managing-your-money
"Benefits and Debt Advice: Help with debt issues and help to maximise your income","Carers Information Service",info@carersinfo.org.uk,"020 8649 9339",enquiries@carersinfo.org.uk,"Financial (debt advice or grants)",,,0,109,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/3767f170-17cc-11ed-b003-9bce657738f9/benefits-and-debt-advice-help-with-debt-issues-and-help-to-maximise-your-income
