Activity Name,Service Provider Name,Service Provider Email Address,Contact Number,Contact Email,Category(s),Age Group(s),Reporting Region,Number of active referrals,Number of times details viewed,ICP,PCN,Activity Post Code,Service Provider Post Code,Active,Start Date,End Date,Link
Cancer Coach Telephone Support Group,Cancer Support UK,hello@cancersupportuk.org,020 7470 8755,hello@cancersupportuk.org,Counselling,"16-21, 21-65, 50+",,0,239,,,CR0 2TB,CR0 2TB,1,2/18/2020 0:00,,https://croydon.simplyconnect.uk/activities/63aff5a0-57f0-11ea-9238-394909cb4d3d/cancer-coach-telephone-support-group
Campaigning group dedicated to empowering residents in temporary accommodation,Accommodation Action,info@accommodationaction.com,7957981497,info@accommodationaction.com,Housing ,"0-5, 16-21, 21-65, 50+, Under 16",,0,144,,,,CR2 6NQ,1,1/28/2021 0:00,,https://croydon.simplyconnect.uk/activities/bda6abc0-576b-11ec-850a-bd10b4b6155a/campaigning-group-dedicated-to-empowering-residents-in-temporary-accommodation
Cafe Worship,Christ Church Methodist Addiscombe,enquiries@christchurchmeth.org.uk,020 8654 5481,enquiries@christchurchmeth.org.uk,Faith Groups,,,0,466,,,CR0 6AD,CR0 6AD,1,2/23/2020 0:00,,https://croydon.simplyconnect.uk/activities/ed20af30-58a1-11ea-b5ca-77f04e72bc81/cafe-worship
Busy Bees Pre-School,Playplace Innov8 CIC,info@playplace.org,07786 194656,info@playplace.org,Education ,0-5,,0,231,,,CR2 6EJ,CR0 9EP,1,,,https://croydon.simplyconnect.uk/activities/59926dd0-442f-11ea-bc1f-9316d56bad82/busy-bees-pre-school
Business Advice,All Inclusive,info@allinclusivetraining.org,020 8253 7062,info@allinclusivetraining.org,"Employment, Skills & Enterprise ","16-21, 21-65, 50+",,1,523,,,CR0 2TB,CR0 2TB,1,,,https://croydon.simplyconnect.uk/activities/596fa250-442f-11ea-942e-6f5579aa680c/business-advice
Bumps and Babies,Emmanuel Church,office@emmanuelcroydon.org.uk,2086886676,joanna.lines@emmanuelcroydon.org.uk,Families,0-5,,0,134,,,CR2 7AF,CR2 7AF,1,10/20/2022 0:00,,https://croydon.simplyconnect.uk/activities/777d2fb0-5145-11ed-be93-4f59b6a3ec81/bumps-and-babies
Building Blocks Pre-School,Playplace Innov8 CIC,info@playplace.org,7766652672,info@playplace.org,Education ,0-5,,1,244,,,CR8 2HP,CR0 9EP,1,,,https://croydon.simplyconnect.uk/activities/5953c7d0-442f-11ea-a049-f36915f28b97/building-blocks-pre-school
Bugzi Loan Scheme,QEF Mobility Services,transporthubproject@qef.org.uk,020 8770 1151,mobility@qef.org.uk,Transport & Mobility,0-5,,0,517,,,SM5 4AW,SM5 4AW,1,,,https://croydon.simplyconnect.uk/activities/5936abf0-442f-11ea-a153-036209f6631f/bugzi-loan-scheme
Brownies & Guides,St Matthew's Church Croydon,churchadmin@stmatthew.org.uk,,churchadmin@stmatthew.org.uk,Youth Social Groups,,,0,173,,,CR0 5NQ,CR0 5NQ,1,04/01/2021 00:00,,https://croydon.simplyconnect.uk/activities/e030a180-a6a6-11ec-8e90-29c2e3f26252/brownies-guides
Brownies,Girlguiding Croydon,cc@girlguidingcroydon.org.uk,7960034404,growguidingcroydon@gmail.com,Hobbies & Interests,Under 16,,0,170,,,CR0 0XD,SW1W 0PT,1,,,https://croydon.simplyconnect.uk/activities/036f3810-4df4-11ea-b5bb-5d516793a524/brownies
Brilliant Butterflies activities for Families at Home,London Wildlife Trust,enquiries@wildlondon.org.uk,020 7261 0447,samos@wildlondon.org.uk,Exercise & Outdoor Activities,,,0,589,,,SW1P 2AF,SW1P 2AF,1,04/03/2020 00:00,,https://croydon.simplyconnect.uk/activities/06f01c40-75ba-11ea-b458-457428d40db9/brilliant-butterflies-activities-for-families-at-home
BRAZILIAN JIUJITSU,Rising Stars Support C.I.C.,info@risingstarssupport.com,0208 682 9668,info@risingstarssupport.com,Sports Clubs,"16-21, Under 16",,0,81,,,SW16 4DN,SW17 8TA,1,05/10/2022 00:00,,https://croydon.simplyconnect.uk/activities/7b883f80-d05f-11ec-9e81-cfa35779a075/brazilian-jiujitsu
Bowls,Croydon Vision,info@croydonvision.org.uk,020 8688 2486,info@croydonvision.org.uk,Wellbeing,"16-21, 21-65, 50+",,0,722,,,CR0 2AR,CR0 2AR,1,,,https://croydon.simplyconnect.uk/activities/58bcb180-442f-11ea-bb19-2fad5d5d1134/bowls
Books on Prescription,South London and Maudsley NHS Trust,croydoniapt@slam.nhs.uk,020 3228 4040,croydoniapt@slam.nhs.uk,Counselling,"16-21, 21-65, 50+",,1,342,,,BR3 3BX,BR3 3BA,1,,,https://croydon.simplyconnect.uk/activities/58231ff0-442f-11ea-91f9-2b26d82ea8f3/books-on-prescription
Book Club,Carers Information Service,info@carersinfo.org.uk,"020 8649 9339, opt 1",info@carersinfo.org.uk,Carers ,"16-21, 21-65, 50+",,0,242,,,CR0 1PB,CR0 1PB,1,06/01/2022 00:00,06/01/2023 00:00,https://croydon.simplyconnect.uk/activities/51a8ed10-db65-11ec-b360-712cc35843f8/book-club
Bollywood Dance Class for kids (6+),Croydon Voluntary Action,cva@cvalive.org.uk,2082531261,cva@cvalive.org.uk,Wellbeing,Under 16,,0,204,,,CR0 1TY,CR0 2TB,1,5/15/2022 0:00,,https://croydon.simplyconnect.uk/activities/f53c3580-cc56-11ec-8899-7716a3b61964/bollywood-dance-class-for-kids-6
Black African Caribbean Community Involvement Group,Black African Caribbean Community Involvement Group,,7947180426,,Neighbourhood & Communities,"16-21, 21-65, 50+, Under 16",,1,554,,,CRO 4ST,CR0 2XX,1,10/21/2020 0:00,,https://croydon.simplyconnect.uk/activities/fc71cc00-1390-11eb-891e-43829df53ac0/black-african-caribbean-community-involvement-group
Bicycles and Motorbikes,QEF Mobility Services,transporthubproject@qef.org.uk,020 8770 1151,mobility@qef.org.uk,Transport & Mobility,"16-21, 21-65",,0,410,,,SM5 4AW,SM5 4AW,1,,,https://croydon.simplyconnect.uk/activities/57b4d960-442f-11ea-a3a9-b31424ba7771/bicycles-and-motorbikes
Bereavement Support Café,Carers Information Service,info@carersinfo.org.uk,,,Bereavement,,,0,30,,,CR0 1PB,CR0 1PB,1,03/09/2023 00:00,,https://croydon.simplyconnect.uk/activities/741d9e10-be68-11ed-9c98-ab49812b8e7c/bereavement-support-cafe
Bereavement support at the Carers Support Centre,Carers Support Centre,info@carersinfo.org.uk,020 8649 6280,tanyafitzgerald@carersinfo.org.uk,Bereavement,"16-21, 21-65, 50+, Under 16",,0,443,,,CR0 1PB,CR0 1PB,1,,,https://croydon.simplyconnect.uk/activities/578e0230-442f-11ea-995d-f77f1e27b2cd/bereavement-support-at-the-carers-support-centre
"Benefits, referrals and enquiries for Council Tenants","Croydon Council - Adult Services, Health & Housing",liz.collins@croydon.gov.uk,,,Financial (debt advice or grants),,,0,104,,,CR0 1EA,CR0 1EA,1,1/29/2023 0:00,,https://croydon.simplyconnect.uk/activities/322e8590-a0b7-11ed-93a1-cfd689b9f241/benefits-referrals-and-enquiries-for-council-tenants
"Benefits, housing advice  for older people, their families and carers",Age UK Croydon,aukc@ageukcroydon.org.uk,020 8686 0066,aukc@ageukcroydon.org.uk,Financial (debt advice or grants),,,0,229,,,CR7 7DG,CR7 7DG,1,8/17/2022 0:00,,https://croydon.simplyconnect.uk/activities/1dc57270-1e2b-11ed-9d21-196930976395/benefits-housing-advice-for-older-people-their-families-and-carers
"Benefits, Debt, Rent, Council Tax Advice - New Addington & Fieldway",Family Centre Fieldway,familycentre.fieldway@virgin.net,074 980 58733,familycentre.fieldway@virgin.net,Financial (debt advice or grants),"16-21, 21-65, 50+",,0,691,,,CR09AZ,CR0 9AZ,1,11/26/2021 0:00,10/31/2023 0:00,https://croydon.simplyconnect.uk/activities/12738380-4df4-11ea-bd77-db93356a2ad1/benefits-debt-rent-council-tax-advice-new-addington-fieldway
"Benefits, debt, housing, employment, immigration and legal advice",Citizens Advice Croydon - South Norwood Office,,0800 144 88 48,,Financial (debt advice or grants),,,0,183,,,SE25 4PQ,SE25 4PQ,1,8/17/2022 0:00,,https://croydon.simplyconnect.uk/activities/f6a336c0-1e21-11ed-bda2-e5708e945b7f/benefits-debt-housing-employment-immigration-and-legal-advice
Benefits Surgery,Carers Support Centre,info@carersinfo.org.uk,020 8663 5608,appointments@carersinfo.org.uk,Carers ,,,0,444,,,CR0 1PB,CR0 1PB,1,10/14/2020 0:00,,https://croydon.simplyconnect.uk/activities/575a2a10-442f-11ea-b1e8-b96877e52cda/benefits-surgery
Benefits and Debt Advice: Money Management Support  - Croydon,Christians Against Poverty,contact@capuk.org,7710350752,nigeldavidson@capuk.org,Financial (debt advice or grants),,,0,50,,,BD1 5LQ,BD1 5LQ,1,3/15/2023 0:00,,https://croydon.simplyconnect.uk/activities/fdbc1c70-c336-11ed-a7d4-1385c7b6dcf7/benefits-and-debt-advice-money-management-support-croydon
Benefits and Debt Advice: Christians Against Poverty (CAP) Debt Centre,Croydon South West Local Community Partnership,,8003280006,info@capuk.org,Financial (debt advice or grants),"16-21, 21-65, 50+",,0,263,,,BD1 4EW,CR0 2TB,1,3/31/2022 0:00,,https://croydon.simplyconnect.uk/activities/8fc35770-b0ea-11ec-a46d-f3c38a0e1ff9/benefits-and-debt-advice-christians-against-poverty-cap-debt-centre
Benefits and Debt Advice: Budgeting workshops & specialist advice with budgeting needs,All Inclusive,info@allinclusivetraining.org,020 8253 7062,info@allinclusivetraining.org,Financial (debt advice or grants),"16-21, 21-65, 50+",,1,729,,,CR0 2TB,CR0 2TB,1,,,https://croydon.simplyconnect.uk/activities/591a37a0-442f-11ea-9bfb-bfef73de05da/benefits-and-debt-advice-budgeting-workshops-specialist-advice-with-budgeting-needs
"Benefits advice, support with debt issues, help to maximise your income",Carers Information Service,info@carersinfo.org.uk,020 8649 9339,enquiries@carersinfo.org.uk,Financial (debt advice or grants),,,0,200,,,CR0 1PB,CR0 1PB,1,08/09/2022 00:00,,https://croydon.simplyconnect.uk/activities/3767f170-17cc-11ed-b003-9bce657738f9/benefits-advice-support-with-debt-issues-help-to-maximise-your-income
Benefits Advice Surgery,Carers Information Service,info@carersinfo.org.uk,"020 8649 9339, opt 1",appointments@carersinfo.org.uk,Carers ,"16-21, 21-65, 50+",,0,195,,,CR0 1PB,CR0 1PB,1,6/20/2022 0:00,,https://croydon.simplyconnect.uk/activities/4df26b50-ed68-11ec-943f-37ed0d00619a/benefits-advice-surgery
"Benefits Advice for people  over 65+, their families or carers",Independent Age,volunteer.recruitment@independentage.org,0207 605 4286,volunteer.recruitment@independentage.org,Financial (debt advice or grants),,,0,51,,,W14 8RL,W14 8RL,1,1/22/2023 0:00,,https://croydon.simplyconnect.uk/activities/ba5c1300-a0c0-11ed-ac02-1f5673603ec8/benefits-advice-for-people-over-65-their-families-or-carers
Befriending Service,Croydon Neighbourhood Care Association,info@cnca.org.uk,0208 654 4440,info@cnca.org.uk,Carers ,,,0,1029,,,CR0 6PD,CR0 6PD,1,10/14/2020 0:00,,https://croydon.simplyconnect.uk/activities/57404bd0-442f-11ea-8698-1937e8f1adbd/befriending-service
Bambino Bank,Miije,tai@miije.co.uk,7856216463,bambinobank@miije.co.uk,"Other - Advice, Support & Self Help",,,0,,,,CR0 4BH,CR0 4BH,1,06/01/2022 00:00,,https://croydon.simplyconnect.uk/activities/d3c5ac80-ec07-11ec-b2ce-5757fa562983/bambino-bank
Badminton Club,Emmanuel Church,office@emmanuelcroydon.org.uk,2086886676,roger.penn@lineone.net,Exercise & Outdoor Activities,21-65,,0,63,,,CR2 7AQ,CR2 7AF,1,10/19/2022 0:00,,https://croydon.simplyconnect.uk/activities/c1153c70-5518-11ed-800e-737922204b57/badminton-club
Badminton,Mind in Croydon (Active Minds),activeminds@mindincroydon.org.uk,0208 2538205,activeminds@mindincroydon.org.uk,Exercise & Outdoor Activities,,,0,124,,,CR2 6EZ,CR2 6EZ,1,10/06/2022 00:00,,https://croydon.simplyconnect.uk/activities/e0e51c80-456a-11ed-88ba-fd7647d0b706/badminton
Baby Bank - providing essentials to families in need in Croydon (Parenting),Church of God (Seventh Day) Croydon,croydon@cog7thday.org.uk,2086886094,croydon@cog7thday.org.uk,Parenting,0-5,,0,351,,,CR0 3SE,CR0 3SE,1,10/17/2021 0:00,,https://croydon.simplyconnect.uk/activities/a75836a0-25ef-11ec-960d-5f4b8c5eb01c/baby-bank-providing-essentials-to-families-in-need-in-croydon-parenting
Baby and Toddler Group,Thornton Heath Salvation Army,thornton.heath@salvationarmy.org.uk,020 8665 0327,thornton.heath@salvationarmy.org.uk,"Family Activities , Family Activities , Family Activities , Family Activities ",0-5,,2,1025,,,CR7 8LF,CR7 8LF,1,11/17/2022 0:00,,https://croydon.simplyconnect.uk/activities/e2a08350-c2be-11ea-a74c-99c4eb4afaee/baby-and-toddler-group
Awareness & Talks,Bromley and Croydon Women's Aid,info@bcwa.org.uk,2083139303,management@bcwa.org.uk,Violence & Abuse,"16-21, 21-65, 50+",,0,340,,,SE20,CR0 2JB,1,,,https://croydon.simplyconnect.uk/activities/56110860-442f-11ea-b70c-91e79c9cdeaa/awareness-talks
Autism World at 'The Hub' Big Local Broad Green Croydon (DIS),Inaspectrum Adult Autism,inaspectrum@hotmail.com,7900990292,inaspectrum@hotmail.com,Disability,"16-21, 21-65, 50+",,0,203,,,CR0 1TF,SE25 6SH,1,4/20/2022 0:00,,https://croydon.simplyconnect.uk/activities/09b0c070-b671-11ec-b817-8588fb864eab/autism-world-at-the-hub-big-local-broad-green-croydon-dis
Autism Support in Croydon: Weekly Dance & Drama sessions for Young People,Croydon Council Autism/SEN Service,,020 8681 0909,musicandarts.education@croydon.gov.uk,Disability,,,0,59,,,CR0 4RQ,CR0 2BY,1,08/02/2022 00:00,,https://croydon.simplyconnect.uk/activities/5b944e30-1244-11ed-bcff-836acf474d4b/autism-support-in-croydon-weekly-dance-drama-sessions-for-young-people
Autism Support in Croydon: Wednesday SEND Youth Club - Waddon Youth Centre,Croydon Council Autism/SEN Service,,7732074288,Wayne.stevens@croydon.gov.uk,Disability,,,0,171,,,CR0 4HY,CR0 2BY,1,08/02/2022 00:00,,https://croydon.simplyconnect.uk/activities/8a42e590-124c-11ed-b4df-13ab9877c5a2/autism-support-in-croydon-wednesday-send-youth-club-waddon-youth-centre
Autism Support in Croydon: Tuesday SEND Youth Club Thornton Heath,Croydon Council Autism/SEN Service,,07587656449 (Tues-Thurs),Anne-Marie.Abalo@croydon.gov.uk,Disability,,,0,136,,,CR7 7BN,CR0 2BY,1,08/02/2022 00:00,,https://croydon.simplyconnect.uk/activities/a27f7c50-1249-11ed-9917-f96d1ea06c0e/autism-support-in-croydon-tuesday-send-youth-club-thornton-heath
Autism Support in Croydon: Tuesday SEND Youth Club - Waddon Youth Centre,Croydon Council Autism/SEN Service,,7732074288,Wayne.stevens@croydon.gov.uk,Disability,,,0,194,,,CR0 4HY,CR0 2BY,1,08/02/2022 00:00,,https://croydon.simplyconnect.uk/activities/85e73d20-124b-11ed-9f84-4582520944b6/autism-support-in-croydon-tuesday-send-youth-club-waddon-youth-centre
Autism Support in Croydon: Thursday SEND Youth Club  in Thornton Heath,Croydon Council Autism/SEN Service,,T: 07587656449 (Tues-Thurs),Anne-Marie.Abalo@croydon.gov.uk,Disability,,,0,209,,,CR7 7BN,CR0 2BY,1,08/02/2022 00:00,,https://croydon.simplyconnect.uk/activities/e7a22400-124d-11ed-b433-774a9bb2659b/autism-support-in-croydon-thursday-send-youth-club-in-thornton-heath
"Autism Support in Croydon: Support Group for Parents, Families & Carers of Adults and Teenagers with Autism",Croydon Council Autism/SEN Service,,020 8255 5473 Extension: 88920,Maria.Esteban@croydon.gov.uk,Disability,,,0,52,,,CR0 2BY,CR0 2BY,1,08/02/2022 00:00,,https://croydon.simplyconnect.uk/activities/7ee74030-1245-11ed-8f5c-090c088596bf/autism-support-in-croydon-support-group-for-parents-families-carers-of-adults-and-teenagers-with-autism
Autism Support in Croydon: Monday SEND Youth Club -  Waddon Youth Centre,Croydon Council Autism/SEN Service,,07701398442 (Mon-Wed),luke.stevens@croydon.gov.uk,Disability,,,0,113,,,CR0 4RQ,CR0 2BY,1,08/02/2022 00:00,,https://croydon.simplyconnect.uk/activities/48f3cc10-1247-11ed-a679-238f90a1bf14/autism-support-in-croydon-monday-send-youth-club-waddon-youth-centre
Autism Support in Croydon: Friday SEND Drop In,Carers Information Service,info@carersinfo.org.uk,"020 8649 9339, opt 1",info@carersinfo.org.uk,Disability,,,0,102,,,CR0 1PB,CR0 1PB,1,08/02/2022 00:00,,https://croydon.simplyconnect.uk/activities/0d53a320-1256-11ed-b210-c95158ae9534/autism-support-in-croydon-friday-send-drop-in
Autism Support in Croydon: Croydon Training  for Parents and Carers,National Autistic Society,volunteers@nas.org.uk,0207 833 2299 / 07968507302,croydonscd@nas.org.uk,Disability,,,0,213,,,EC1V 1NG,EC1V 1NG,1,7/25/2022 0:00,,https://croydon.simplyconnect.uk/activities/de8e35e0-0c33-11ed-a568-2726c5f878a3/autism-support-in-croydon-croydon-training-for-parents-and-carers
Autism Support in Croydon: Croydon Autism Pub Experience Group,Croydon Council Autism/SEN Service,,07742 405 348,maria.esteban@croydon.gov.uk,Disability,,,0,120,,,CR0 2BY,CR0 2BY,1,08/02/2022 00:00,,https://croydon.simplyconnect.uk/activities/a6555d40-1241-11ed-887f-fd57d8320999/autism-support-in-croydon-croydon-autism-pub-experience-group
"Autism Support in Croydon:  SENDIAS Free Confidential, Impartial Advice & Support",Croydon Council Autism/SEN Service,,,croydon@kids.org.uk,Disability,,,0,124,,,CR0 2BY,CR0 2BY,1,08/02/2022 00:00,,https://croydon.simplyconnect.uk/activities/14c39420-1255-11ed-ad83-03b4dd742147/autism-support-in-croydon-sendias-free-confidential-impartial-advice-support
Autism Support in Croydon:  Croydon National Autistic - Society Clubs and Support,National Autistic Society,volunteers@nas.org.uk,0203 005 4335,,Disability,,,0,247,,,,EC1V 1NG,1,08/02/2022 00:00,,https://croydon.simplyconnect.uk/activities/58872cc0-1251-11ed-b60f-ad32a9194a7f/autism-support-in-croydon-croydon-national-autistic-society-clubs-and-support
Autism Support in Croydon,A2ndVoice,info@a2ndvoice.com,07908 380 415,info@a2ndvoice.com,Disability,,,0,179,,,SW16 4AQ,SW16 4AQ,1,7/25/2022 0:00,,https://croydon.simplyconnect.uk/activities/817ef000-0c2b-11ed-944c-c98a3802c4c3/autism-support-in-croydon
Autism Support in Croydon,Inaspectrum Adult Autism,inaspectrum@hotmail.com,7900990292,inaspectrum@hotmail.com,Disability,,,0,184,,,CR0 1TF,SE25 6SH,1,7/25/2022 0:00,,https://croydon.simplyconnect.uk/activities/d37dff80-0c2c-11ed-ab2a-65efbed9b6e0/autism-support-in-croydon
Autism Support in Croydon,Gig Buddies Croydon,Info@gigbuddiescroydon.co.uk,,cherilyn@gigbuddiescroydon.com,Disability,,,0,274,,,CR0 1TF,CR0 1UQ,1,7/25/2022 0:00,,https://croydon.simplyconnect.uk/activities/29bb46b0-0c2e-11ed-ad60-595759f79766/autism-support-in-croydon
Autism Support in Croydon,Croydon Mencap,info@croydonmencap.org.uk,020 8684 5890,info@croydonmencap.org.uk,Disability,,,0,160,,,CR7 7HU,CR7 7HU,1,7/25/2022 0:00,,https://croydon.simplyconnect.uk/activities/4c7ed970-0c36-11ed-a8e6-5fbabedf64a8/autism-support-in-croydon
"Austism Support in Croydon: Education, Training & Work Experience",Willow Learning for Life Ltd CIC,tanya@willowlearningforlife.com,0751 5028382,tanya@willowlearningforlife.com,Disability,,,0,237,,,ME13 7JH,ME13 7JH,1,08/02/2022 00:00,,https://croydon.simplyconnect.uk/activities/696837c0-1257-11ed-be22-9d47cb108cbb/austism-support-in-croydon-education-training-work-experience
Art therapy sessions,Studio Upstairs,southlondon@studioupstairs.org.uk,2086165440,southlondon@studioupstairs.org.uk,Arts & Crafts,"16-21, 21-65, 50+",,0,767,,,CR0 1TT,CR0 1TT,1,11/17/2020 0:00,,https://croydon.simplyconnect.uk/activities/782def40-2811-11eb-9964-1362d475d799/art-therapy-sessions
Art Class,Carers Information Service,info@carersinfo.org.uk,"020 8649 9339, opt 1",info@carersinfo.org.uk,Carers ,,,0,275,,,CR0 1PB,CR0 1PB,1,11/11/2021 00:00,,https://croydon.simplyconnect.uk/activities/4e526f60-3fee-11ec-b79e-f961b5d41f50/art-class
Art and Making Things,APASEN - Croydon Opportunity Zone,mohammed.amin@apasen.org.uk,020 8689 6617,info.croydon@apasen.org.uk,Arts & Crafts,"16-21, 21-65, 50+",,1,663,,,CR7 7JY,CR7 7JY,1,10/21/2020 0:00,,https://croydon.simplyconnect.uk/activities/01bb6fd0-1384-11eb-bd61-47830f84397a/art-and-making-things
Apprenticeship Training Provider,All Inclusive,info@allinclusivetraining.org,0208 253 7062,info@allinclusivetraining.org,Education ,"16-21, 21-65",,0,754,,,CR0 2TB,CR0 2TB,1,,,https://croydon.simplyconnect.uk/activities/548e2c90-442f-11ea-9f70-6189e4247bde/apprenticeship-training-provider
Alzheimer's Society,Carers Information Service,info@carersinfo.org.uk,,,Other - Healthy Living,,,0,187,,,CR0 1PB,CR0 1PB,1,08/10/2022 00:00,,https://croydon.simplyconnect.uk/activities/c8daf570-18a0-11ed-aff3-7fed953a5130/alzheimers-society
Allotment,Mind in Croydon (Active Minds),activeminds@mindincroydon.org.uk,0208 2538205,activeminds@mindincroydon.org.uk,Exercise & Outdoor Activities,,,0,134,,,CR2 6EZ,CR2 6EZ,1,10/06/2022 00:00,,https://croydon.simplyconnect.uk/activities/e7c4e6d0-4569-11ed-8c52-f1047d71f7cc/allotment
All Saints Church,Croydon South West Local Community Partnership,,,,Faith Groups,,,0,143,,,CR8 5DJ,CR0 2TB,1,08/11/2022 00:00,,https://croydon.simplyconnect.uk/activities/d06404d0-195b-11ed-9a36-119bd01c6a6c/all-saints-church
